categoryid,ancestorid
1016,1532
809,395
570,653
1691,1579
536,1579
231,231
542,378
1146,378
1140,378
1479,378
83,395
688,395
257,653
1640,653
963,653
412,653
948,653
934,653
148,653
12,653
1459,653
1039,653
877,653
28,653
912,653
600,653
177,653
344,653
419,140
192,140
1099,140
1212,140
527,653
1653,1490
7,250
1252,250
874,250
1122,250
88,250
365,679
1587,679
91,679
1436,679
1185,250
1517,1579
1159,1579
1689,1579
582,1579
1309,1579
632,1579
259,1579
454,1579
1334,1579
237,1579
890,1579
915,1579
63,1579
898,1579
840,1579
1166,1579
1194,1579
232,1579
824,1579
1683,1579
855,1579
800,1579
1609,1579
949,1579
1115,1579
817,1579
981,1579
298,1579
397,1579
1230,1579
681,1579
1369,1579
935,140
965,1579
1242,1579
186,1579
595,1579
31,1579
1381,1579
1000,653
210,140
178,395
309,395
483,395
1682,395
701,395
1551,395
667,140
932,140
122,1600
748,1600
201,1579
614,1600
757,1600
717,803
428,250
1217,679
556,1600
1379,1600
1321,1600
1380,1600
1268,378
102,653
21,653
1570,653
1633,653
119,653
1457,140
1414,1482
128,653
303,653
909,791
534,431
1427,431
1444,1490
740,1490
732,1482
1547,1482
458,1482
136,1482
601,1482
418,1394
697,1394
108,250
1512,250
32,250
294,250
68,250
443,250
906,250
922,250
79,250
1044,250
733,250
853,250
403,250
1264,250
1262,1394
41,1394
1612,1600
698,653
988,378
810,378
1172,378
606,378
967,378
604,378
1341,1532
480,1532
1535,378
1513,378
776,378
1537,378
81,378
144,395
463,250
1621,395
1257,395
893,395
75,395
751,395
1183,395
36,395
408,395
498,250
1129,250
578,395
558,653
637,653
437,653
1610,653
607,653
1251,653
1087,653
718,653
1080,653
297,653
540,140
1110,653
115,653
1330,653
94,653
17,653
962,653
1596,653
907,653
1562,653
351,653
782,653
1447,653
1124,653
1270,653
1026,653
199,653
9,653
1295,653
1263,140
386,140
805,140
1173,140
792,140
1347,140
445,140
725,140
589,140
84,140
1048,140
1329,140
1417,140
1549,140
149,140
497,140
46,140
597,140
1239,653
610,653
862,140
1393,140
469,140
191,140
183,140
16,140
860,140
1368,140
1659,140
1178,140
1228,140
325,140
1645,140
579,140
1511,140
1486,140
131,140
539,140
315,140
369,140
802,140
1324,140
856,140
1314,140
1499,653
895,653
711,140
1378,140
364,140
886,140
1553,140
156,140
1023,140
1311,140
799,140
984,140
1616,140
1487,140
777,140
643,140
1265,140
897,140
1098,140
1540,140
531,140
845,140
396,140
317,140
57,140
392,653
293,1532
65,1532
1445,1532
986,1532
1171,1532
330,1532
562,1532
1076,1532
517,1532
58,1532
533,1532
416,1532
1492,1532
450,1532
1409,1532
1174,1532
360,1532
1038,1532
89,1532
86,1532
1266,1532
801,1532
1083,1532
1376,1532
290,1490
333,1490
806,1490
56,1490
543,250
1116,1490
1188,1490
658,250
308,250
514,395
1130,395
1323,395
1396,395
588,395
1399,395
1031,395
516,395
109,395
746,395
90,395
1306,1532
821,1532
1356,1532
1012,1532
1576,1532
1395,1532
1068,1532
914,1532
1431,1532
457,250
678,250
1674,250
538,250
1365,250
1036,250
708,250
1424,679
421,679
1139,679
310,679
1143,679
511,250
553,679
1008,679
992,679
245,679
1231,679
368,679
1454,653
844,140
815,250
1113,1532
324,1532
1043,1532
50,653
127,653
1253,653
1047,653
652,653
1456,653
884,653
484,653
1300,653
352,859
590,1579
77,1579
1453,1579
1193,1579
526,1579
359,1579
1550,1579
1675,1579
475,1579
763,1579
488,1579
726,1579
608,1579
1468,140
1591,1579
910,1579
925,1579
918,1579
1460,1579
989,1579
843,1579
1029,140
1559,1579
1094,140
1524,1579
1232,1579
322,140
234,140
649,1579
666,1579
211,1579
415,1579
468,1579
1211,1579
78,1579
865,1579
194,1579
863,1579
1175,1579
1536,1579
729,1579
1518,1579
842,1579
436,1579
829,1579
1651,1579
1223,1579
1283,1579
1590,1579
1632,1579
1478,1579
1433,653
2,653
1169,653
1681,140
1514,140
1630,395
399,395
693,395
453,395
1075,395
1025,395
521,395
705,140
775,1579
998,653
1485,250
22,1579
1666,1600
818,1600
1606,1600
683,1600
520,1600
873,1600
676,1600
875,1600
876,1600
1073,1600
1179,1600
1207,1600
942,1600
1220,1600
1273,1600
426,1600
268,1600
1575,1600
944,1600
569,1600
1625,1600
1141,1600
969,1600
1236,1600
406,1600
1107,1600
1041,1600
394,1600
1413,1600
1033,1600
